,group,count
Ethane,CH3,2
Propane,CH3,2
Propane,CH2,1
Isobutane,CH3,3
Isobutane,CH,1
n-Butane,CH3,2
n-Butane,CH2,2
Benzene,ACH,6
Ethanol,CH3,1
Ethanol,CH2,1
Ethanol,OH,1
Nitrogen,N2,1
Carbon Dioxide,CO2,1
Methane,CH3,1
Isopentane,CH3,3
Isopentane,CH2,1
Isopentane,CH,1
n-Pentane,CH3,2
n-Pentane,CH2,3
n-Hexane,CH3,2
n-Hexane,CH2,4
n-Heptane,CH3,2
n-Heptane,CH2,5
n-Octane,CH3,2
n-Octane,CH2,6
n-Nonane,CH3,2
n-Nonane,CH2,7
n-Decane,CH3,2
n-Decane,CH2,8
Toluene,ACH,5
Toluene,ACCH3,1
Cyclohexane,CH2,6
Xylenes,ACH,4
Xylenes,ACCH3,2
